Location,State,Year,Race,Population
Nevada,NV,2019,O,121800
New Hampshire,NH,2019,O,24000
New Jersey,NJ,2019,O,185600
New Mexico,NM,2019,O,34500
New York,NY,2019,O,490000
North Carolina,NC,2019,O,267400
North Dakota,ND,2019,O,17400
Ohio,OH,2019,O,314800
Oklahoma,OK,2019,O,273600
Oregon,OR,2019,O,156900
Pennsylvania,PA,2019,O,275500
Rhode Island,RI,2019,O,31600
South Carolina,SC,2019,O,106000
South Dakota,SD,2019,O,21200
Tennessee,TN,2019,O,144200
Texas,TX,2019,O,523100
Utah,UT,2019,O,82000
Vermont,VT,2019,O,11300
Virginia,VA,2019,O,291400
Washington,WA,2019,O,368600
West Virginia,WV,2019,O,31300
Wisconsin,WI,2019,O,116200
Wyoming,WY,2019,O,11100
Alabama,AL,2015,N,20100
Alaska,AK,2015,N,106600
Arizona,AZ,2015,N,265200
Arkansas,AR,2015,N,24300
California,CA,2015,N,253000
Colorado,CO,2015,N,34500
Connecticut,CT,2015,N,4900
Delaware,DE,2015,N,3500
District of Columbia,DC,2015,N,1600
Florida,FL,2015,N,49700
Georgia,GA,2015,N,20400
Hawaii,HI,2015,N,130400
Idaho,ID,2015,N,14600
Illinois,IL,2015,N,19700
Indiana,IN,2015,N,11200
Iowa,IA,2015,N,7100
Kansas,KS,2015,N,20200
Kentucky,KY,2015,N,6200
Louisiana,LA,2015,N,22200
Maine,ME,2015,N,6200
Maryland,MD,2015,N,9600
Massachusetts,MA,2015,N,7800
Michigan,MI,2015,N,47400
Minnesota,MN,2015,N,49400
Mississippi,MS,2015,N,10300
Missouri,MO,2015,N,27100
Montana,MT,2015,N,66300
Nebraska,NE,2015,N,12100
Nevada,NV,2015,N,42100
New Hampshire,NH,2015,N,0
New Jersey,NJ,2015,N,10000
New Mexico,NM,2015,N,181300
New York,NY,2015,N,45900
North Carolina,NC,2015,N,106400
North Dakota,ND,2015,N,44400
Ohio,OH,2015,N,16200
Oklahoma,OK,2015,N,272900
Oregon,OR,2015,N,45000
Pennsylvania,PA,2015,N,13700
Rhode Island,RI,2015,N,4300
South Carolina,SC,2015,N,12600
South Dakota,SD,2015,N,64800
Tennessee,TN,2015,N,16800
Texas,TX,2015,N,71200
Utah,UT,2015,N,52200
Vermont,VT,2015,N,3400
Virginia,VA,2015,N,18700
Washington,WA,2015,N,119100
West Virginia,WV,2015,N,3400
Wisconsin,WI,2015,N,41500
Wyoming,WY,2015,N,10900
Alabama,AL,2019,N,19000
Alaska,AK,2019,N,117700
Arizona,AZ,2019,N,283900
Arkansas,AR,2019,N,25200
California,CA,2019,N,247500
Colorado,CO,2019,N,33000
Connecticut,CT,2019,N,4900
Delaware,DE,2019,N,3300
District of Columbia,DC,2019,N,0
Florida,FL,2019,N,48300
Georgia,GA,2019,N,29000
Hawaii,HI,2019,N,129500
Idaho,ID,2019,N,18100
Illinois,IL,2019,N,18600
Indiana,IN,2019,N,8500
Iowa,IA,2019,N,9000
Kansas,KS,2019,N,16000
Kentucky,KY,2019,N,5600
Louisiana,LA,2019,N,22700
Maine,ME,2019,N,5100
Maryland,MD,2019,N,8900
Massachusetts,MA,2019,N,11000
Michigan,MI,2019,N,48200
Minnesota,MN,2019,N,51700
Mississippi,MS,2019,N,12000
Missouri,MO,2019,N,29200
Montana,MT,2019,N,60400
Nebraska,NE,2019,N,12500
Nevada,NV,2019,N,47100
New Hampshire,NH,2019,N,0
New Jersey,NJ,2019,N,8900
New Mexico,NM,2019,N,181000
New York,NY,2019,N,46200
North Carolina,NC,2019,N,110400
North Dakota,ND,2019,N,37500
Ohio,OH,2019,N,19200
Oklahoma,OK,2019,N,289900
Oregon,OR,2019,N,54000
Pennsylvania,PA,2019,N,12100
Rhode Island,RI,2019,N,0
South Carolina,SC,2019,N,14900
South Dakota,SD,2019,N,73100
Tennessee,TN,2019,N,14700
Texas,TX,2019,N,88400
Utah,UT,2019,N,55700
Vermont,VT,2019,N,2100
Virginia,VA,2019,N,20600
Washington,WA,2019,N,126000
West Virginia,WV,2019,N,1600
Wisconsin,WI,2019,N,45700
Wyoming,WY,2019,N,12900
